STT,Lx,Qx,Ly,Qy,Lz,Qz,Rx,Ry,Rz,STATUS
1,1.107,44.51,1.248,51.82,1.235,51.94,1.51,1.23,2.30,WARNING
2,1.154,46.55,1.159,51.43,1.044,25.99,1.24,1.73,2.63,FAIL
3,1.201,45.05,1.189,50.13,1.200,50.83,1.24,1.73,2.46,PASS
4,1.151,49.53,1.149,40.05,1.202,45.88,1.32,1.41,2.58,WARNING
5,1.171,49.42,1.175,52.84,1.157,49.98,1.40,1.51,2.40,PASS
6,1.120,44.33,1.221,48.18,1.155,49.56,1.36,1.76,2.94,WARNING
7,1.246,52.92,1.024,36.67,1.158,48.60,1.55,1.54,2.24,FAIL
8,1.155,53.79,1.102,41.22,1.171,53.51,1.35,1.37,2.43,WARNING
9,1.231,47.32,1.108,44.17,1.029,22.82,1.69,1.37,2.52,FAIL
10,1.169,47.98,1.143,40.88,1.236,51.39,1.35,1.50,2.57,WARNING
